Archer,Round,Experience,Bowstyle,EventName,EventType,Date,Score,Hits,Golds,Xs,Handicap,Classification,HandicapAtScore,HandicapAllowance,HandicapAdjustedScore
Patrick Huston,WA 18m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-12-08,589,60,,,7,A,4,848,1437
Patrick Huston,WA 18m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-12-01,586,60,,,9,A,4,848,1434
Patrick Huston,Portsmouth,Experienced,Recurve,Practice Session,Practice Session,2023-11-30,595,60,,,11,A,4,841,1436
Patrick Huston,Bray I,Experienced,Recurve,Practice Session,Practice Session,2023-11-28,297,30,,,3,A,4,1144,1441
Patrick Huston,WA 18m,Experienced,Recurve,Practice Session,Practice Session,2023-11-26,585,60,,,10,A,5,849,1434
Patrick Huston,WA 18m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-11-26,587,60,,,8,A,5,849,1436
Patrick Huston,Bray I,Experienced,Recurve,Practice Session,Practice Session,2023-11-22,293,30,,,8,A,5,1145,1438
Patrick Huston,Bray I,Experienced,Recurve,Practice Session,Practice Session,2023-11-21,290,30,,,12,A,5,1145,1435
Patrick Huston,WA 18m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-11-18,586,60,,,9,A,5,849,1435
Patrick Huston,Bray I,Experienced,Recurve,Record Status Competition,Practice Session,2023-11-14,296,30,,,4,A,5,1145,1441
Patrick Huston,Bray I,Experienced,Recurve,Record Status Competition,Practice Session,2023-11-14,295,30,,,6,A,6,1145,1440
Patrick Huston,Bray I,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-11-12,292,30,,,10,A,6,1145,1437
Patrick Huston,Bray I,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-11-11,293,30,,,8,A,6,1145,1438
Patrick Huston,Bray I,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-11-11,290,30,,,12,A,6,1145,1435
Patrick Huston,WA 18m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-11-11,575,60,,,15,B,6,850,1425
Patrick Huston,Bray I,Experienced,Recurve,Practice Session,Practice Session,2023-10-17,288,30,,,14,A,6,1145,1433
Patrick Huston,Bray I,Experienced,Recurve,Practice Session,Practice Session,2023-10-09,289,30,,,13,A,6,1145,1434
Patrick Huston,WA 720 70m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-09-09,670,72,,,12,1st,11,767,1437
Patrick Huston,WA 1440 Gents,Experienced,Recurve,Practice Session,Record Status Competition,2023-08-27,1296,144,,,18,GMB*,11,94,1390
Patrick Huston,WA 720 70m,Experienced,Recurve,Practice Session,Record Status Competition,2023-08-26,652,72,,,17,1st,11,767,1419
Patrick Huston,WA 720 70m,Experienced,Recurve,Practice Session,Record Status Competition,2023-08-26,643,72,,,19,1st,11,767,1410
Patrick Huston,WA 720 70m,Experienced,Recurve,Practice Session,Practice Session,2023-08-23,665,72,,,14,1st,11,767,1432
Patrick Huston,WA 1440 Gents,Experienced,Recurve,British target chanps,Record Status Competition,2023-08-13,1307,144,,,17,GMB*,14,114,1421
Patrick Huston,WA 720 70m,Experienced,Recurve,Record Status Competition,Record Status Competition,2023-08-12,636,72,,,21,1st,14,777,1413
Patrick Huston,WA 720 70m,Experienced,Recurve,Sutherland ,Practice Session,2023-08-05,663,72,,,14,1st,11,767,1430
Patrick Huston,WA 720 70m,Experienced,Recurve,Veronica’s cup,Record Status Competition,2023-05-12,655,72,,,16,1st,11,767,1422
Patrick Huston,WA 720 70m,Experienced,Recurve,Barnsley,Record Status Competition,2023-05-07,661,72,,,15,1st,11,767,1428
Patrick Huston,WA 720 70m,Experienced,Recurve,Barnsley,Record Status Competition,2023-05-06,644,72,,,19,1st,11,767,1411
Patrick Huston,WA 720 70m,Experienced,Recurve,Sutherland,Practice Session,2023-05-04,662,72,,,15,1st,11,767,1429
Patrick Huston,WA 720 70m,Experienced,Recurve,Longmynd ,Record Status Competition,2023-04-30,661,72,,,15,1st,11,767,1428
Patrick Huston,WA 720 70m,Experienced,Recurve,Bucks or bounty,Record Status Competition,2023-04-29,668,72,,,13,1st,11,767,1435
Patrick Huston,WA 720 70m,Experienced,Recurve,Lilleshall,Practice Session,2023-04-27,644,72,,,19,1st,11,767,1411
Patrick Huston,WA 720 70m,Experienced,Recurve,Long mynd,Record Status Competition,2023-04-16,663,72,,,14,1st,11,767,1430
Patrick Huston,WA 720 70m,Experienced,Recurve,Longmynd ,Record Status Competition,2023-04-16,663,72,,,14,1st,11,767,1430
Patrick Huston,WA 720 70m,Experienced,Recurve,Longmynd,Record Status Competition,2023-04-15,644,,,,19,1st,11,767,1411
Patrick Huston,WA 720 70m,Experienced,Recurve,Long mynd,Record Status Competition,2023-04-15,643,72,,,19,1st,11,767,1410
Patrick Huston,WA 720 70m,Experienced,Recurve,EGP Lillesjall,Record Status Competition,2023-04-05,630,72,,,22,1st,11,767,1397
Patrick Huston,WA 720 70m,Experienced,Recurve,Bowbrook,Record Status Competition,2023-04-02,628,72,,,23,1st,11,767,1395
Patrick Huston,WA 720 70m,Experienced,Recurve,Antalya ,Competition (Non Record Status),2023-03-24,660,72,,,15,1st,11,767,1427
Patrick Huston,WA 720 70m,Experienced,Recurve,Turkey,Competition (Non Record Status),2023-03-21,663,72,,,14,1st,11,767,1430
Patrick Huston,Portsmouth,Experienced,Recurve,Corus ,Record Status Competition,2023-03-12,595,60,,,11,A,5,841,1436
Patrick Huston,Portsmouth,Experienced,Recurve,Deeside,Record Status Competition,2023-03-12,590,60,,,16,B,5,841,1431
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,Sutherland,Practice Session,2023-03-08,338,36,,,10,2nd,11,767,1105
Patrick Huston,70m 122cm 10 Zone,Experienced,Recurve,Sutherland ,Practice Session,2023-03-02,330,36,,,15,2nd,,,
Patrick Huston,Bray I,Experienced,Recurve,Spider,Practice Session,2023-02-14,285,30,,,17,B,5,1145,1430
Patrick Huston,Portsmouth,Experienced,Recurve,Spider archery,Practice Session,2023-02-10,594,60,,,12,A,5,841,1435
Patrick Huston,Bray I,Experienced,Recurve,Competition (Non Record Status),Competition (Non Record Status),2022-11-23,294,30,,,7,A,5,1145,1439
Patrick Huston,WA 18m,Experienced,Recurve,IWS Luxembourg,Record Status Competition,2022-11-18,587,60,,,8,A,5,849,1436
Patrick Huston,WA 18m,Experienced,Recurve,Practice Session,Practice Session,2022-11-16,582,60,,,11,A,5,849,1431
Patrick Huston,Bray I,Experienced,Recurve,Practice Session,Practice Session,2022-11-15,296,30,,,4,A,5,1145,1441
Patrick Huston,Bray I,Experienced,Recurve,KINGS,Competition (Non Record Status),2022-11-13,294,30,,,7,A,6,1145,1439
Patrick Huston,Bray I,Experienced,Recurve,KINGS,Competition (Non Record Status),2022-11-12,288,30,,,14,A,6,1145,1433
