Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Haha,,Work time (s),855.0,Work ratio,1.109,Volume load,45486,,,,,
45486,,Intensity adjusted work (s),940.5,Adjusted work ratio,1.220,,,,,,,
50035,,Rest total (s),771,Adjusted volume Load,50035,,,,,,,
 Duration (minutes),,27.1,,Requirement,"Be comfortable with S1.5,1.6",,,,,,,
,,,,,"Bow, elbowsling, stabilisers",,,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,,
,,,,,,,,,,,,53.2
1,Static reversals,,5,30,30,150,150,1,150,53.2,7980,7980
2,Extend Front movement,Push arm forward 3x5s ,5,30,30,150,150,1.15,172.5,53.2,7980,9177
3,Static reversals,,2,30,25,60,50,1,60,53.2,3192,3192
4,Back end movement ,1cm each way 3x5s,3,30,30,90,90,1.3,117,53.2,4788,6224.4
5,Static reversals,,2,30,30,60,60,1,60,53.2,3192,3192
6,Extend front  movement,Front arm forward 3x5s,4,30,30,120,120,1.3,156,53.2,6384,8299.2
7,Static reversals,,5,30,30,150,150,1,150,53.2,7980,7980
8,Long hold,As long as you can,1,75,1,75,1,1,75,53.2,3990,3990
,,,,,,,,,,53.2,0,
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
