Session,Focus,Adjusted volume load,Duration,Adjusted work ratio,% increase from last session,% of first session
1,Intro,16758,14.8,0.548,0%,100.00%
1.1,Into and beginning of movement,16838,14.1,0.581,0.48%,100.48%
1.2,Increasing hold time,17556,14.9,0.628,4.27%,104.76%
1.3,Slight increase of intensity ,23248,20.0,0.553,32.42%,138.73%
1.4,Both sides movement,25563,20.1,0.636,9.95%,152.54%
1.5,Increased holds,21480,15.6,0.713,-15.97%,128.17%
1.6,Increasing hold time/front end,22916,17.3,0.678,6.69%,136.75%
1.7,Increasing volume,28396,21.2,0.692,23.91%,169.44%
1.8,Work ratio increase. ,31920,19.6,1.042,12.41%,190.48%
1.9,Volume load increase ,44688,26.5,1.119,40.00%,266.67%
2.0,30 minute session,50540,30.5,1.067,13.10%,301.59%
2.1,30 minutes with movements. ,52814,30.6,1.073,4.50%,315.16%
2.2,Slight increase ,54211,29.3,1.272,2.64%,323.49%
2.3,Movement control,54583,29.7,1.281,0.69%,325.71%
2.4,Movement then ratio change,57243,31.2,1.272,4.87%,341.59%
2.5,Aiming intro,55488,30.0,1.146,-3.07%,331.11%
Me,PH session,50035,27.1,1.220,-9.83%,298.57%
