Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.8,,Work time (s),960.0,Work ratio,1.065,Volume load,51072,,,,,
51072,,Intensity adjusted work (s),978.0,Adjusted work ratio,1.085,,,,,,,
52030,,Rest total (s),901,Adjusted volume Load,52030,,,,,,,
 Duration (minutes),,31.0,,Requirement,30 minute work load,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,,
Beginning of reversals reintroduction,,,,,,,,,,,,53.2
1,Static reversals,,17,30,30,510,510,1,510,53.2,27132,27132
5,Static reversals,,9,30,30,270,270,1,270,53.2,14364,14364
5,Back end movement ,6x5s 1cm each froward and back ,2,30,30,60,60,1.3,78,53.2,3192,4149.6
5,Static reversals,,2,30,30,60,60,1,60,53.2,3192,3192
6,Long hold,Hold as long as you can ,1,60,1,60,1,1,60,53.2,3192,3192
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
