,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Week 1,1.0,,1.1,,1.0,,
Week 2,1.0,,1.1,,1.1,,
Week 3,1.1,,1.0,,1.2,,
Week 4 ,1.1,,1.2,,1.2,,
Week 2,1.3,,1.2,,1.3,,
Week 5 ,1.0,,,,1.1,,
Week 6 ,1.4,,1.3,,1.4,,
Week 7 ,1.3,,1.4,,1.5,,
Week 8,1.4,,1.2,,1.5,,
Week 9,1.5,,1.5,,1.5,,
Week 10,1.6,,,,,,
Week 11,1.5,,1.6,,1.5,,
Week 12,1.6,,1.7,,1.6,,
Week 13,1.7,,1.7,,1.8,,
Week 14,1.7,,1.8,,1.7,,
Week 15,1.8,,,,,,
Week 16,1.0,,1.9,,1.9,,
Week 17,1.8,,1.9,,1.8,,
Week 18,1.8,,1.9,,1.9,,
Week 19,1.6,,1.9,,1.9,,
Week 20,,,1.2,,,,
Week 21,1.9,,1.8,,2.0,,
Week 22,1.8,,2.0,,2.0,,
Week 23,1.7,,1.9,,2.0,,
Week 24,2.1,,2.0,,2.1,,
Week 25,2.1,,,,1.0,,
Week 26,2.1,,,,,,
