Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.3,,Work time (s),410.0,Work ratio,0.519,Volume load,21812,,,,,
21812,,Intensity adjusted work (s),437.0,Adjusted work ratio,0.553,,,,,,,
23248,,Rest total (s),790,Adjusted volume Load,23248,,,,,,,
 Duration (minutes),,20.0,,Requirement,Not be too tired with s1.2,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,,,,,,,,,,,
Slight increase of intensity ,,,,,,,,,,,,53.2
1,Static reversals," Draw elbow behind, front arm extended",4,10,25,40,100,1,40,53.2,2128,2128
2,Static reversals,,4,15,25,60,100,1,60,53.2,3192,3192
3,"Static, extend front","Push draw arm froward as far as possible, maintain posture",3,10,20,30,60,1.1,33,53.2,1596,1755.6
4,Static reversals,,6,15,25,90,150,1,90,53.2,4788,4788
5,Hold with back end movement,2x5s  slide back end 1cm behind and 1cm in front of anchor,4,10,20,40,80,1.3,52,53.2,2128,2766.4
6,Static reversals,,4,10,25,40,100,1,40,53.2,2128,2128
7, extend front  movement,2x5sPush front arm forward in steady movement for 5s,4,10,25,40,100,1.3,52,53.2,2128,2766.4
8,Static reversals," Draw elbow behind, front arm extended",4,10,25,40,100,1,40,53.2,2128,2128
9,Static hold,Hold as long as you can while maintaining posture,1,30,0,30,0,1,30,53.2,1596,1596
,,,,,,,,,,,,0
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
