Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,
Session 1.4,,Work time (s),452.0,Work ratio,0.598,,,,,,,
25562.60,,Intensity adjusted work (s),480.5,Adjusted work ratio,0.636,,,,,,,
,,Rest total (s),756,Volume Load,25562.60,,,,,,,
 Duration (minutes),,20.1,,Requirement,Minimum 3 weeks work,,,,,,,
,,All exercises to be done with formaster and stabilisers,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
Be comfortable with S. 2,,,,,,,,,,,,
,,,,,,,,,,,,
1,Static reversals," Draw elbow behind, front arm extended",4,12,25,48,100,1,48,53.2,2553.6,
2,Static reversals,,4,18,25,72,100,1,72,53.2,3830.4,
3,"Static, extend front","Push draw arm froward as far as possible, maintain posture",3,15,25,45,75,1.1,49.5,53.2,2633.4,
4,Static reversals,,5,15,25,75,125,1,75,53.2,3990,
5,Hold with back end movement 2x5s,Slide back end 1cm behind and 1cm in front of anchor,4,10,20,40,80,1.3,52,53.2,2766.4,
6,Static reversals,,3,10,25,30,75,1,30,53.2,1596,
7,Static reversals extend front  movement 2x5s,Push front arm forward in steady movement for 5s,4,10,25,40,100,1.3,52,53.2,2766.4,
8,Static reversals,,4,18,25,72,100,1,72,53.2,3830.4,
9,Static hold,Hold as long as you can while maintaining posture,1,30,1,30,1,1,30,53.2,1596,
,,,,,,,,,,,,
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,
