Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load
Session 1.7,,Work time (s),420.0,Work ratio,0.645,,,,,,
24618.30,,Intensity adjusted work (s),462.8,Adjusted work ratio,0.711,,,,,,
,,Rest total (s),651,Volume Load,24618.30,,,,,,
 Duration (minutes),,17.9,,Requirement,"Be comfortable with S1.5,1.6",,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,
,,,,,,,,,,,53.2
1,Static reversals,,4,20,30,80,120,1,80,53.2,4256
2,Static reversals,,2,10,20,20,40,1,20,53.2,1064
,Extend Front movement,Push arm forward 3x5s ,3,15,25,45,75,1.15,51.75,53.2,2753.1
4,Static reversals,,2,20,30,40,60,1,40,53.2,2128
5,Back end movement ,1cm each way 3x5s,4,15,25,60,100,1.3,78,53.2,4149.6
6,Static reversals,,2,20,30,40,60,1,40,53.2,2128
7,Extend front  movement,Front arm forward 3x5s,4,15,30,60,120,1.3,78,53.2,4149.6
8,Static reversals,,3,15,25,45,75,1,45,53.2,2394
9,Long hold,As long as you can,1,30,1,30,1,1,30,53.2,1596
,,,,,,,,,,,
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,
