Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load,Adjusted volume load
Session 1.8,,Work time (s),410.0,Work ratio,1.155,Volume load,21812,,,,,
21812,,Intensity adjusted work (s),410.0,Adjusted work ratio,1.155,,,,,,,
21812,,Rest total (s),355,Adjusted volume Load,21812,,,,,,,
 Duration (minutes),,12.8,,Requirement,30 minute work load,,,,,,,
,,,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,,
,,Work towards front shoulder closer in line to front of body,,,,,,,,,,
Volume load increase ,,,,,,,,,,,,53.2
1,Static reversals,,3,30,30,90,90,1,90,53.2,4788,4788
2,Static reversals,,3,30,25,90,75,1,90,53.2,4788,4788
,Static reversals,,2,25,20,50,40,1,50,53.2,2660,2660
4,Static reversals,,1,30,30,30,30,1,30,53.2,1596,1596
1,Static reversals,,3,30,20,90,60,1,90,53.2,4788,4788
5,Static reversals,,2,30,30,60,60,1,60,53.2,3192,3192
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0.00
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
,,,,,,,,,,,,0
