Exercises,,Details,Reps,Work (s),Rest (s),Time under tension total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load
Session 1,,Time under tension (s),310.0,Work ratio,0.539,,,,,,
16758.00,,Intensity adjusted work (s),315.0,Adjusted work ratio,0.548,,,,,,
,,Rest total (s),575,Volume Load,16758.00,,,,,,
 Duration (minutes),,14.8,,Requirements,Nil,,,,,,
"First session, attempt to stick to times",,All exercises to be done with formaster and stabilisers,,Equipment ,"Bow, elbowsling, stabilisers",,,,,,
,,Strap length tip of fingers at full draw. ,,,,,,,,,
,,"Look forward, not towards bow",,,,,,,,,
1,Static reversals," Draw elbow behind, front arm extended",5,10,25,50,125,1,50,53.2,2660
2,Static reversals,,5,15,30,75,150,1,75,53.2,3990
3,"Static, extend front","Push draw arm froward as far as possible, maintain posture",5,10,20,50,100,1.1,55,53.2,2926
4,Static reversals,,5,15,25,75,125,1,75,53.2,3990
5,Static reversals,,3,10,25,30,75,1,30,53.2,1596
6,Static hold,Hold as long as you can while maintaining posture,1,30,0,30,0,1,30,53.2,1596
,,,,,,,,,,,
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,
